id,public_metrics,conversation_id,text
1479192441467158529,3284,1479192441467158529,['negative']
1478668846181539843,2387,1478668846181539843,['negative']
1480641383958564864,2372,1480641383958564864,['negative']
1478823836317634560,2331,1478823836317634560,['negative']
1479896856968802307,2316,1479896856968802307,['negative']
1479143805433569283,2200,1479143805433569283,['negative']
1478856417125801986,1944,1478856417125801986,['negative']
1479166193835651074,1921,1479166193835651074,['negative']
1478804070152474626,1904,1478804070152474626,['negative']
1480624137768947712,1881,1480624137768947712,['negative']
1478748502951931905,1807,1478748502951931905,['negative']
1478769767775457289,1721,1478769767775457289,['negative']
1480522839178551298,1704,1480522839178551298,['negative']
1478483245096394759,1691,1478483245096394759,['negative']
1478774078135844866,1535,1478774078135844866,['positive']
1479904690259308548,1464,1479904690259308548,['negative']
1479232879678959622,1461,1479232879678959622,['negative']
1479828929687003136,1351,1479828929687003136,['negative']
1480553888210210818,1338,1480553888210210818,['positive']
1479476970228535299,1327,1479476970228535299,['negative']
1479527340996710409,1323,1479527340996710409,['negative']
1479440569692790784,1168,1479440569692790784,['negative']
1480132269511778306,1145,1480132269511778306,['negative']
1480146144630083585,1143,1480146144630083585,['negative']
1478841104892051469,1139,1478841104892051469,['negative']
1479465527739355140,1099,1479465527739355140,['negative']
1478640835671601152,1084,1478640835671601152,['negative']
1479514096278061057,1080,1479514096278061057,['negative']
1479474659963908103,1078,1479474659963908103,['negative']
1480505793086730247,1074,1480505793086730247,['negative']
1479727772356550657,1050,1479727772356550657,['negative']
1480165620541009926,975,1480165620541009926,['negative']
1478784689863368708,954,1478784689863368708,['negative']
1480493230198296586,933,1480493230198296586,['negative']
1480537423436292101,894,1480537423436292101,['negative']
1480899882198122501,882,1480899882198122501,['negative']
1478676688561131521,858,1478676688561131521,['positive']
1479174962212659211,832,1479174962212659211,['negative']
1478821730403586049,760,1478821730403586049,['negative']
1480578846898499586,741,1480578846898499586,['positive']
1480456161434521602,718,1480456161434521602,['negative']
1479853738026278912,691,1479853738026278912,['negative']
1479792650110836739,680,1479792650110836739,['negative']
1478841784285417479,680,1478841784285417479,['negative']
1478867591515017223,672,1478867591515017223,['negative']
1479847113295024131,669,1479847113295024131,['negative']
1479805544839983104,640,1479805544839983104,['negative']
1478794305695268871,624,1478794305695268871,['negative']
1479753840727576578,600,1479753840727576578,['negative']
1478463953520975879,600,1478463953520975879,['negative']
1479384078994575364,594,1479384078994575364,['negative']
1480573790660743183,593,1480573790660743183,['negative']
1478851679982395399,558,1478851679982395399,['negative']
